# Note:  GroundTruthClusterID ObtainedClusterIDs dont correspond, they just denote grouping of nodes.
# Node GroundTruthClusterID ObtainedClusterID_pivot ObtainedClusterID_density ObtainedClusterID_vote
0 0 101 501 1005
1 0 100 501 1005
2 0 100 501 1004
3 0 101 501 1005
4 0 101 501 1005
5 0 105 501 1005
6 0 101 501 1005
7 0 104 501 1005
8 0 101 501 1005
9 0 101 501 1005
10 0 101 501 1007
11 0 101 501 1001
12 0 101 501 1005
13 0 101 501 1005
14 0 101 501 1005
15 0 101 501 1005
16 0 101 501 1005
17 0 101 501 1005
18 0 103 501 1005
19 0 102 501 1005
20 0 101 501 1005
21 0 101 501 1005
22 0 101 501 1005
23 0 101 501 1005
24 0 101 501 1005
25 0 102 501 1005
26 0 105 501 1005
27 0 101 501 1005
28 0 101 501 1005
29 0 101 501 1005
30 0 100 501 1005
31 0 101 501 1005
32 0 101 501 1005
33 0 100 501 1005
34 0 101 501 1005
35 0 101 501 1005
36 0 101 501 1005
37 0 101 501 1005
38 0 101 501 1005
39 0 101 501 1005
40 0 100 501 1005
41 0 101 501 1005
42 0 101 501 1005
43 0 101 501 1005
44 0 101 501 1005
45 0 101 501 1005
46 0 100 501 1005
47 0 100 501 1005
48 0 104 501 1005
49 0 100 501 1005
50 1 102 502 1003
51 1 101 502 1003
52 1 102 502 1002
53 1 102 502 1003
54 1 102 502 1003
55 1 101 502 1003
56 1 100 502 1003
57 1 101 502 1003
58 1 101 502 1003
59 1 102 502 1003
60 1 102 502 1003
61 1 102 502 1003
62 1 101 502 1003
63 1 102 502 1003
64 1 104 502 1009
65 1 100 502 1003
66 1 102 502 1003
67 1 102 502 1003
68 1 101 502 1003
69 1 102 502 1003
70 1 103 502 1003
71 1 105 502 1003
72 1 102 502 1003
73 1 102 502 1003
74 1 100 502 1002
75 1 100 502 1003
76 1 101 502 1003
77 1 102 502 1003
78 1 100 502 1003
79 1 102 502 1003
80 1 102 502 1003
81 1 104 502 1003
82 1 102 502 1003
83 1 102 502 1003
84 1 102 502 1003
85 1 102 502 1002
86 1 102 502 1003
87 1 101 502 1003
88 1 101 502 1003
89 1 100 502 1003
90 1 104 502 1003
91 1 101 502 1002
92 1 100 502 1003
93 1 102 502 1003
94 1 102 502 1003
95 1 100 502 1002
96 1 102 502 1003
97 1 102 502 1003
98 1 102 502 1003
99 1 102 502 1008
100 2 103 503 1000
101 2 103 503 1000
102 2 103 503 1000
103 2 103 503 1000
104 2 103 503 1000
105 2 101 503 1000
106 2 103 503 1000
107 2 102 503 1000
108 2 103 503 1000
109 2 103 503 1000
110 2 102 503 1000
111 2 100 503 1000
112 2 100 503 1000
113 2 100 503 1000
114 2 103 503 1000
115 2 100 503 1000
116 2 103 503 1000
117 2 103 503 1000
118 2 103 503 1000
119 2 103 503 1000
120 2 103 503 1000
121 2 100 503 1000
122 2 101 503 1000
123 2 103 503 1000
124 2 101 503 1000
125 2 103 503 1000
126 2 101 503 1000
127 2 103 503 1000
128 2 106 503 1000
129 2 103 503 1000
130 2 103 503 1000
131 2 100 503 1000
132 2 106 503 1000
133 2 108 503 1000
134 2 102 503 1000
135 2 103 503 1000
136 2 103 503 1000
137 2 102 503 1000
138 2 100 503 1000
139 2 102 503 1000
140 2 103 503 1000
141 2 103 503 1000
142 2 102 503 1000
143 2 100 503 1000
144 2 100 503 1000
145 2 103 503 1000
146 2 100 503 1000
147 2 103 503 1000
148 2 103 503 1000
149 2 103 503 1000
150 3 100 504 1006
151 3 100 504 1006
152 3 107 504 1006
153 3 105 504 1006
154 3 100 504 1002
155 3 100 504 1006
156 3 100 504 1006
157 3 107 504 1002
158 3 100 504 1006
159 3 104 504 1006
160 3 101 504 1006
161 3 100 504 1002
162 3 100 504 1006
163 3 100 504 1006
164 3 100 504 1006
165 3 100 504 1006
166 3 100 504 1006
167 3 102 504 1006
168 3 100 504 1006
169 3 100 504 1006
170 3 107 504 1006
171 3 100 504 1006
172 3 101 504 1006
173 3 100 504 1006
174 3 100 504 1006
175 3 100 504 1006
176 3 100 504 1006
177 3 100 504 1006
178 3 100 504 1006
179 3 100 504 1006
180 3 100 504 1006
181 3 100 504 1006
182 3 100 504 1004
183 3 100 504 1010
184 3 100 504 1004
185 3 104 504 1006
186 3 100 504 1006
187 3 100 504 1004
188 3 100 504 1006
189 3 100 504 1006
190 3 100 504 1006
191 3 105 504 1006
192 3 100 504 1006
193 3 100 504 1006
194 3 100 504 1006
195 3 100 504 1006
196 3 100 504 1006
197 3 100 504 1006
198 3 100 504 1006
199 3 100 504 1006
200 4 104 500 1001
201 4 100 500 1001
202 4 104 500 1001
203 4 102 500 1001
204 4 100 500 1001
205 4 104 500 1001
206 4 104 500 1001
207 4 104 500 1001
208 4 103 500 1001
209 4 103 500 1001
210 4 103 500 1001
211 4 104 500 1001
212 4 104 500 1001
213 4 104 500 1001
214 4 104 500 1001
215 4 100 500 1001
216 4 103 500 1001
217 4 101 500 1001
218 4 100 500 1006
219 4 104 500 1001
220 4 104 500 1001
221 4 104 500 1001
222 4 104 500 1001
223 4 102 500 1001
224 4 104 500 1001
225 4 109 500 1001
226 4 104 500 1001
227 4 104 500 1001
228 4 101 500 1001
229 4 104 500 1001
230 4 101 500 1001
231 4 104 500 1001
232 4 100 500 1001
233 4 104 500 1001
234 4 104 500 1001
235 4 104 500 1001
236 4 104 500 1003
237 4 101 500 1001
238 4 101 500 1001
239 4 101 500 1001
240 4 104 500 1001
241 4 107 500 1001
242 4 104 500 1001
243 4 104 500 1001
244 4 100 500 1001
245 4 100 500 1001
246 4 104 500 1001
247 4 103 500 1001
248 4 104 500 1001
249 4 100 500 1001
