# Note:  GroundTruthClusterID ObtainedClusterIDs dont correspond, they just denote grouping of nodes.
# Node GroundTruthClusterID ObtainedClusterID_pivot ObtainedClusterID_density ObtainedClusterID_vote
1 5 102 500 1002
2 5 102 500 1002
3 5 102 500 1002
4 5 102 500 1002
5 5 102 500 1002
6 5 102 500 1002
7 5 102 500 1002
8 5 102 500 1002
9 5 102 500 1002
10 5 102 500 1002
11 5 102 500 1002
12 5 102 500 1002
13 5 102 500 1002
14 5 102 500 1002
15 5 102 500 1002
16 5 102 500 1002
17 5 102 500 1002
18 5 102 500 1002
19 5 102 500 1002
20 5 102 500 1002
21 5 102 500 1002
22 5 102 500 1002
23 5 102 500 1002
24 5 101 501 1000
25 5 102 500 1002
26 5 102 500 1002
27 5 102 500 1002
28 5 102 500 1002
29 5 104 502 1004
30 5 102 500 1002
31 5 104 502 1004
32 5 102 500 1002
33 5 102 500 1002
34 5 102 500 1002
35 5 102 500 1002
36 5 102 500 1002
37 5 102 500 1002
38 5 102 500 1002
39 5 103 503 1003
40 5 102 500 1002
41 5 102 500 1002
42 5 102 500 1002
43 5 102 500 1002
44 5 102 500 1002
45 5 102 500 1002
46 5 102 500 1002
47 5 102 500 1002
48 5 102 500 1002
49 5 104 502 1004
50 5 102 500 1002
51 5 102 500 1002
52 5 102 500 1002
53 5 102 500 1002
54 5 102 500 1002
55 5 102 500 1002
56 5 102 500 1002
57 5 102 500 1002
58 5 102 500 1002
59 5 102 500 1002
60 5 102 500 1002
61 5 102 500 1002
62 5 102 500 1002
63 5 102 500 1002
64 5 102 500 1002
65 5 102 500 1002
66 5 102 500 1002
67 5 102 500 1002
68 5 102 500 1002
69 5 102 500 1002
70 5 102 500 1002
71 5 102 500 1002
72 5 102 500 1002
73 5 102 500 1002
74 5 102 500 1002
75 5 102 500 1002
76 5 102 500 1002
77 5 102 500 1002
78 5 102 500 1002
79 5 102 500 1002
80 5 102 500 1002
81 5 102 500 1002
82 5 102 500 1002
83 5 102 500 1002
84 5 102 500 1002
85 5 102 500 1002
86 5 104 502 1004
87 5 102 500 1002
88 5 102 500 1002
89 5 102 500 1002
90 5 102 500 1002
91 5 102 500 1002
92 5 102 500 1002
93 5 102 500 1002
94 5 102 500 1002
95 5 102 500 1002
96 5 102 500 1002
97 5 102 500 1002
98 5 102 500 1002
99 5 102 500 1002
100 5 102 500 1002
101 5 102 500 1002
102 5 102 500 1002
103 5 102 500 1002
104 5 102 500 1002
105 5 102 500 1002
106 5 102 500 1002
107 5 102 500 1002
108 5 102 500 1002
109 5 102 500 1002
110 5 102 500 1002
111 5 102 500 1002
112 5 102 500 1002
113 5 102 500 1002
114 5 102 500 1002
115 5 102 500 1002
116 5 102 500 1002
117 5 102 500 1002
118 5 102 500 1002
119 5 102 500 1002
120 5 102 500 1002
121 5 102 500 1002
122 5 102 500 1002
123 5 102 500 1002
124 5 102 500 1002
125 5 102 500 1002
126 5 101 501 1000
127 5 102 500 1002
128 5 102 500 1002
129 5 102 500 1002
130 5 102 500 1002
131 5 102 500 1002
132 5 102 500 1002
133 5 102 500 1002
134 5 102 500 1002
135 5 102 500 1002
136 5 102 500 1002
137 5 102 500 1002
138 5 102 500 1002
139 5 102 500 1002
140 5 104 502 1004
141 5 102 500 1002
142 5 102 500 1002
143 5 102 500 1002
144 5 102 500 1002
145 5 102 500 1002
146 5 102 500 1002
147 5 102 500 1002
148 5 102 500 1002
149 5 102 500 1002
150 5 102 500 1002
151 5 102 500 1002
152 5 102 500 1002
153 5 102 500 1002
154 5 102 500 1002
155 5 102 500 1002
156 5 102 500 1002
157 5 102 500 1002
158 5 102 500 1002
159 5 102 500 1002
160 5 102 500 1002
161 5 102 500 1002
162 5 102 500 1002
163 5 101 501 1000
164 5 102 500 1002
165 5 102 500 1002
166 5 102 500 1002
167 5 102 500 1002
168 5 102 500 1002
169 5 102 500 1002
170 5 102 500 1002
171 5 102 500 1002
172 5 102 500 1002
173 5 101 501 1000
174 5 102 500 1002
175 5 102 500 1002
176 5 102 500 1002
177 5 102 500 1002
178 5 102 500 1002
179 5 102 500 1002
180 5 102 500 1002
181 5 102 500 1002
182 5 102 500 1002
183 5 102 500 1002
184 5 102 500 1002
185 5 102 500 1002
186 5 102 500 1002
187 5 102 500 1002
188 5 102 500 1002
189 5 102 500 1002
190 5 102 500 1002
191 5 102 500 1002
192 5 102 500 1002
193 5 102 500 1002
194 5 102 500 1002
195 5 101 501 1000
196 5 102 500 1002
197 5 104 502 1004
198 5 102 500 1002
199 5 102 500 1002
200 5 102 500 1002
201 5 102 500 1002
202 5 104 502 1004
203 5 102 500 1002
204 5 102 500 1002
205 5 102 500 1002
206 5 102 500 1002
207 5 102 500 1002
208 5 102 500 1002
209 5 102 500 1002
