# Note:  GroundTruthClusterID ObtainedClusterID dont correspond, they just denote grouping of nodes.
Node GroundTruthClusterID ObtainedClusterID
0 0 103
1 0 100
2 0 100
3 0 100
4 0 100
5 0 100
6 0 100
7 0 109
8 0 100
9 0 100
10 0 100
11 0 100
12 0 100
13 0 100
14 0 100
15 0 100
16 0 100
17 0 100
18 0 100
19 0 110
20 1 106
21 1 102
22 1 106
23 1 106
24 1 108
25 1 108
26 1 105
27 1 106
28 1 106
29 1 106
30 1 108
31 1 106
32 1 106
33 1 101
34 1 106
35 1 101
36 1 102
37 1 102
38 1 106
39 1 108
40 2 103
41 2 103
42 2 103
43 2 111
44 2 103
45 2 103
46 2 103
47 2 103
48 2 103
49 2 103
50 2 103
51 2 103
52 2 101
53 2 103
54 2 103
55 2 103
56 2 102
57 2 103
58 2 103
59 2 104
60 3 102
61 3 102
62 3 100
63 3 102
64 3 102
65 3 102
66 3 102
67 3 100
68 3 105
69 3 102
70 3 102
71 3 102
72 3 101
73 3 102
74 3 100
75 3 102
76 3 102
77 3 102
78 3 102
79 3 100
80 4 107
81 4 101
82 4 107
83 4 101
84 4 101
85 4 101
86 4 107
87 4 101
88 4 101
89 4 101
90 4 101
91 4 101
92 4 101
93 4 101
94 4 100
95 4 101
96 4 101
97 4 101
98 4 101
99 4 101
